col_no,pos_fr_rd,treatment,time_point,date,action,reorg_or_removed_box,numerical_trt,gross_wt_lbs,bip_style_fob,hobo_no,hobo_sensor_status_30_Sep,logger_connection_issue,end_of_file_issue,rh_sensor_propolis,water_amt_0-3,oct1_feeder_type,cups_fed,aec_towel_perc_remaining,time,q_status,q_event,brd_pattern,remove,notes,col_hist,location_on_9-19,date_brd_inspection_wax_virus,date_brd_exam,viral_sample_tf,wax_sample_tf,alc_sample_tf,alc_jar_no,mites_recov_3_washes,extra_mites_by_2-clear_rinses,mites_recov_total,gm_wt_100_bees,gm_wt_total_bee_sample,est_bee_num_by_wt,perc_phoretic_mites_by_weight,date_brd_pattern_assessed,disorders,dr_brood_exam_tf,dr_infested_num,dr_exhumed_num,wk_brood_exam_tf,infested_in_first_200_cells_num,extra_wk_infested_num,extra_wk_exhumed_num,dwv_num_sides_obs,dwv_tf,cdb_num_sides_obs,prev_bees_tot_sides,prev_cap_brd_tot_sides,prev_dr_capbrd_tot_sides,prev_honey_tot_sides,prev_pollen_tot_sides,prev_wk_capbrd_tot_sides,cap_brd_tot_sides_rm,dr_capbrd_tot_sides_rm,honey_tot_sides_removed,pollen_tot_sides_removed,bees_tot_sides,cap_brd_tot_sides,dr_capbrd_tot_sides,honey_tot_sides,pollen_tot_sides,wk_capbrd_tot_sides,est_sides_brood_incl_open,est_sides_used_space,est_sides_free_space,9.23_honey_addition_sides,9.23_pollen_addition_sides,bees_num,dr_capbrd_cells_num,revised_honey_tot_sides,revised_pollen_tot_sides,wrk_capbrd_cells_num,phoretic_mites_num_estimate,dr_cells_infested_estimate,wk_cells_infested_estimate,mites_total_estimate,sides_honey_short_of_9,lbs_to_feed,gallons_to_feed_total_wrong_estimate,gals_fed_round_1,lbs_fed_round_1,sides_added_round_1,new_sides_total,sides_honey_short_of_12,lbs_per_side,lbs_to_feed_round_2,gals_to_feed_round_2
C15,47,Apivar,5,25-Sep,Check water amt,,,,,,,,,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D10,1,Apiguard_Api,6,30-Sep,Check water amt,,,,,,,,,,0,,,,1:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D20,2,Apivar,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D15,3,AEC,6,30-Sep,Check water amt,,,,,,,,,,1,,,,1:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D16,4,AEC,6,30-Sep,Check water amt,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D5,5,Apivar,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D6,6,Apiguard_Api,6,30-Sep,Check water amt,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
9,7,Apivar,6,30-Sep,Check water amt,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D7,8,Apivar,6,30-Sep,Check water amt,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D8,9,Apivar,6,30-Sep,Check water amt,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
RC1,10,Apivar,6,30-Sep,Check water amt,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D11,11,Apivar,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D25,12,Apivar,6,30-Sep,Check water amt,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D13,13,Apiguard_Api,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
N5,14,AEC,6,30-Sep,Check water amt,,,,,,,,,,0,,,,1:35,,,,,Bee trap with like 100-300 bees (hole in screened bottom board noted and fixed on this visit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
N68,15,AEC,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D3,16,Apiguard_Api,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2,17,Apiguard_Api,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D17,18,Apiguard_Api,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D19,19,Apiguard_Api,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
8,20,Apiguard_Api,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
L75,21,Apiguard_Api,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D21,22,Apivar,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D22,23,AEC,6,30-Sep,Check water amt,,,,,,,,,,0,,,,1:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D23,24,AEC,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
C12,25,Apiguard_Api,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D24,26,Apiguard_Api,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D12,27,AEC,6,30-Sep,Check water amt,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D33,28,AEC,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D27,29,Apiguard_Api,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D28,30,Apiguard_Api,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D30,31,AEC,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
C33,32,Apivar,6,30-Sep,Check water amt,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
C6,33,Apiguard_Api,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
BC15,34,Apivar,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
N42,35,AEC,6,30-Sep,Check water amt,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D26,36,AEC,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
L76,37,Apivar,6,30-Sep,Check water amt,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
62,38,Apivar,6,30-Sep,Check water amt,,,,,,,,,,0,,,,1:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
N22,39,Apivar,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
L79,40,AEC,6,30-Sep,Check water amt,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
4,41,AEC,6,30-Sep,Check water amt,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
S1,42,Apiguard_Api,6,30-Sep,Check water amt,,,,,,,,,,0,,,,1:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
17,43,Apivar,6,30-Sep,Check water amt,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
C8,44,Apiguard_Api,6,30-Sep,Check water amt,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
C2,45,AEC,6,30-Sep,Check water amt,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
N51,46,AEC,6,30-Sep,Check water amt,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
C15,47,Apivar,6,30-Sep,Check water amt,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D10,1,Apiguard_Api,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,1,OK,,,,,,,,15:26,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D20,2,Apivar,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,2,BAD,,,,,,,,15:27,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D15,3,AEC,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,3,BAD,,,,,,,,15:30,QS-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D16,4,AEC,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,15:31,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D5,5,Apivar,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,4,OK,,,,,,,,15:34,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D6,6,Apiguard_Api,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,5,BAD,,,,,,,,14:59,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
9,7,Apivar,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,15:02,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D7,8,Apivar,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,15:06,QR,,,,Mite on comb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D8,9,Apivar,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,15:09,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
RC1,10,Apivar,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,15:14,QS-B,,,,Tore down sealed emergency cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D11,11,Apivar,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,6,BAD,,,,,,,,15:18,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D25,12,Apivar,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,7,BAD,,,,,,,,15:21,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D13,13,Apiguard_Api,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,8,BAD,,,,,,,,13:59,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
N5,14,AEC,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,9,OK,,,,,,,,13:59,QS-NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
N68,15,AEC,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,10,BAD,,,,,,,,14:02,QS-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D3,16,Apiguard_Api,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,11,BAD,,,,,,,,14:10,QR,,,,2x cells (swarm position) torn down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
2,17,Apiguard_Api,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,14:14,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D17,18,Apiguard_Api,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,12,BAD,,,,,,,,14:19,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D19,19,Apiguard_Api,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,14:21,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
8,20,Apiguard_Api,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,14:24,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
L75,21,Apiguard_Api,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,13,BAD,,,,,,,,14:26,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D21,22,Apivar,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,14:29,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D22,23,AEC,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,14:32,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D23,24,AEC,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,14,OK,,,,,,,,14:34,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
C12,25,Apiguard_Api,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,16:10,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D24,26,Apiguard_Api,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,16:13,QS-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D12,27,AEC,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,16:15,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D33,28,AEC,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,16:19,QR,,,,Weak but not collapsing. Brood nest nearly all in bottom box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D27,29,Apiguard_Api,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,16:22,QS-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D28,30,Apiguard_Api,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,15,BAD,,,,,,,,16:25,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D30,31,AEC,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,15:38,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
C33,32,Apivar,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,15:41,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
C6,33,Apiguard_Api,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,15:44,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
BC15,34,Apivar,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,16,OK,,,,,,,,15:54,QL,Marked Q introduced 10/1,,,Sealed emergency cells. All in big larva / white eye pupa stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
N42,35,AEC,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,17,OK,,,,,,,,15:56,QS-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
D26,36,AEC,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,18,OK,,,,,,,,15:59,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
L76,37,Apivar,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,16:01,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
62,38,Apivar,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,19,BAD,,,,,,,,16:04,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
N22,39,Apivar,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,,,,,,,,,,16:06,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
L79,40,AEC,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,20,BAD,,,,,,,,14:37,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
4,41,AEC,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,21,BAD,,,,,,,,14:39,QS-NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
S1,42,Apiguard_Api,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,22,OK,,,,,,,,14:43,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
17,43,Apivar,7,30-Sep,"Q check, HOBO sensor check, round 2 TM",,,,,23,OK,,,,,,,,14:46,QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,
